isbn13,gender,age,bukbu,dalseochild,dowon,bonly,sungseo,topic,bookname,bookurl
9791165451004,F,40,1,0,0,0,1,17,합리적 비혼주의자로 잘 살게요 :연애 좀 해 본 작가의 쏘-쿨한 비혼 에세이,https://image.aladin.co.kr/product/24345/46/cover/k122630809_2.jpg
9791155503683,F,40,1,0,0,0,0,4,한국 역사,https://image.aladin.co.kr/product/23746/86/cover/k822639863_1.jpg
9791190885225,F,8,1,0,0,0,0,10,플라스틱맨 :백민석 장편소설,https://image.aladin.co.kr/product/24721/25/cover/k892631618_1.jpg
9788997090945,M,40,1,0,0,0,0,19,"토지공개념, 행복한 세상의 기초 :지공주의의 이론과 실천",https://bookthumb-phinf.pstatic.net/cover/140/939/14093917.jpg?type=m1&udate=20181020
9788966262410,M,40,1,0,0,0,0,2,파이썬으로 만드는 OpenCV 프로젝트 :간단한 영상 입출력부터 머신러닝까지,https://image.aladin.co.kr/product/18739/7/cover/8966262414_1.jpg
9791190313537,F,14,1,0,0,0,0,19,천장의 무늬 :이해할 수 없는 통증을 껴안고 누워 있으며 생각한 것들,https://image.aladin.co.kr/product/25228/23/cover/k212633901_1.jpg
9791195924646,F,20,1,0,0,0,0,4,중개실무와 매매계약서 작성실습 2 - 상가임대차계약.권리금계약.건물빌딩매매계약,https://image.aladin.co.kr/product/21440/20/cover/k572636199_1.jpg
9791165214647,F,8,1,0,0,0,1,2,"잘 팔리는 브랜드의 법칙 :온라인 쇼핑의 시대, 어떻게 팔아야 할까",https://image.aladin.co.kr/product/26405/76/cover/k722738326_1.jpg
9788984688513,F,20,1,0,0,0,0,4,(자바 기초만 알면 할 수 있는) JSP 웹 프로그래밍 =JSP web programming,https://image.aladin.co.kr/product/25417/91/cover/8984688517_1.jpg
9791130600604,F,14,1,0,0,1,1,1,이중섭 :최문희 장편소설,http://image.aladin.co.kr/product/3278/37/cover/1130600602_1.jpg
9788964373484,F,40,1,0,1,0,0,12,원본 없는 판타지 :페미니스트 시각으로 읽는 한국 현대문화사,https://image.aladin.co.kr/product/23703/50/cover/8964373480_1.jpg
9791185415406,F,40,1,0,0,1,0,8,우연한 아름다움 :정신과 의사 김건종의 마음 낱말 사전,https://image.aladin.co.kr/product/25874/65/cover/k882737466_1.jpg
9788947545518,M,14,1,0,0,1,0,12,왜 가족이 힘들게 할까 :지친 마음을 돌보는 관계 맞춤법,https://image.aladin.co.kr/product/23286/10/cover/8947545511_1.jpg
9791157686308,F,40,1,0,1,1,0,8,아이와 미술에 대해 이야기 하는 법 :어른과 아이가 함께 배우는 교양 미술,https://image.aladin.co.kr/product/24404/27/cover/k202630411_1.jpg
9791190313773,M,40,1,0,1,1,0,12,바쁜 사람은 단순하게 운동합니다 :여유도 체력도 없는 당신을 위한 하루 10분 생존 운동의 정석,https://image.aladin.co.kr/product/26556/51/cover/k072738931_1.jpg
9791189217068,F,40,1,0,0,0,0,18,둘이 함께 살며 생각한 것들 :비혼 동거 가족 그리고 집에 대한 이야기,https://image.aladin.co.kr/product/23651/81/cover/k982638737_1.jpg
9791157412020,F,40,1,0,0,0,0,3,나비의 꿈 :방정환 동화,https://image.aladin.co.kr/product/24081/77/cover/k622639130_1.jpg
9791189052119,F,40,1,0,1,0,0,3,경민이의 상상 속 다락방,https://image.aladin.co.kr/product/17779/35/cover/k592534226_1.jpg
9788983718648,F,50,1,0,1,1,0,3,걷기의 인문학 :가장 철학적이고 예술적이고 혁명적인 인간의 행위에 대하여,https://bookthumb-phinf.pstatic.net/cover/123/442/12344258.jpg?type=m1&udate=20170830
9788961952583,F,20,1,0,0,0,0,8,객체들의 민주주의,https://image.aladin.co.kr/product/26558/41/cover/8961952587_1.jpg
9788984688636,M,40,1,0,0,0,0,12,(초보자를 위한) JSP 프로그래밍 =Java Server Pages programming,https://image.aladin.co.kr/product/23374/32/cover/8984688630_1.jpg
9791165343217,F,14,1,0,0,0,0,2,눈의 질병을 찾아내는 책 :1분 자가진단 테스트,https://image.aladin.co.kr/product/26651/18/cover/k912739333_1.jpg
9791187589303,F,40,1,0,0,1,0,5,"(히잡에서 전기차까지,) 인도네시아 깨톡 :이슬람 쫌 아는 은행원이 들려주는 인니 이야기",https://image.aladin.co.kr/product/26620/67/cover/k482739133_1.jpg
